time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,20,7,0,0
2026-04-05 00:00:00+00:00,13,5,0,0
2026-04-06 00:00:00+00:00,13,5,0,0
2026-04-07 00:00:00+00:00,17,8,1,1
2026-04-08 00:00:00+00:00,8,3,0,0
2026-04-09 00:00:00+00:00,16,6,1,1
2026-04-10 00:00:00+00:00,24,7,4,3
2026-04-11 00:00:00+00:00,3,3,0,0
2026-04-12 00:00:00+00:00,16,6,0,0
2026-04-13 00:00:00+00:00,17,5,4,3
2026-04-14 00:00:00+00:00,1,1,0,0
2026-04-15 00:00:00+00:00,15,6,0,0
2026-04-16 00:00:00+00:00,74,18,18,1
2026-04-17 00:00:00+00:00,29,8,1,1
