time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,31,7,0,0
2026-06-21 00:00:00+00:00,33,9,1,1
2026-06-22 00:00:00+00:00,26,6,0,0
2026-06-23 00:00:00+00:00,45,9,0,0
2026-06-24 00:00:00+00:00,26,6,0,0
2026-06-25 00:00:00+00:00,44,11,0,0
2026-06-26 00:00:00+00:00,8,4,1,1
2026-06-27 00:00:00+00:00,19,6,1,1
2026-06-28 00:00:00+00:00,20,7,0,0
2026-06-29 00:00:00+00:00,18,8,0,0
2026-06-30 00:00:00+00:00,14,5,1,1
2026-07-01 00:00:00+00:00,9,4,0,0
2026-07-02 00:00:00+00:00,26,8,0,0
2026-07-03 00:00:00+00:00,9,4,0,0
